SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170328_102009.MP4,CEBUS-01-R1_20170328_102009.MP4,28/03/2017_10:20:09
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170328_104057.MP4,CEBUS-01-R1_20170328_104057.MP4,28/03/2017_10:40:57
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170328_104320.MP4,CEBUS-01-R1_20170328_104320.MP4,28/03/2017_10:43:20
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170328_104531.MP4,CEBUS-01-R1_20170328_104531.MP4,28/03/2017_10:45:31
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170328_144335.MP4,CEBUS-01-R1_20170328_144335.MP4,28/03/2017_14:43:35
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_174518.MP4,CEBUS-01-R1_20170329_174518.MP4,29/03/2017_17:45:18
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_174555.MP4,CEBUS-01-R1_20170329_174555.MP4,29/03/2017_17:45:55
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_174631.MP4,CEBUS-01-R1_20170329_174631.MP4,29/03/2017_17:46:31
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_175351.MP4,CEBUS-01-R1_20170329_175351.MP4,29/03/2017_17:53:51
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_180050.MP4,CEBUS-01-R1_20170329_180050.MP4,29/03/2017_18:00:50
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_180508.MP4,CEBUS-01-R1_20170329_180508.MP4,29/03/2017_18:05:08
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_180556.MP4,CEBUS-01-R1_20170329_180556.MP4,29/03/2017_18:05:56
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_180941.MP4,CEBUS-01-R1_20170329_180941.MP4,29/03/2017_18:09:41
/Volumes/Coiba Image Data/renamed_data/R1/CEBUS-01-R1/video/CEBUS-01-R1_20170329_181345.MP4,CEBUS-01-R1_20170329_181345.MP4,29/03/2017_18:13:45
