"sequenceid","deploymentid","samplingpoint","projectname","organisationname","isblank","issetuppickup","isunknown","sequencestart","sequenceend","countassets","link"
"05ab0a1f-ffd6-4d7a-b2c9-0d693b41cc3b","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:19 12:53:41""","""2018:04:19 12:54:23""","50","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/05ab0a1f-ffd6-4d7a-b2c9-0d693b41cc3b"
"7ed89592-299b-4595-a0d4-07e81236c916","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:06:04 12:49:21""","""2018:06:04 12:50:00""","50","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7ed89592-299b-4595-a0d4-07e81236c916"
"10fd6eb2-eb3e-411e-a165-0f6befc581d3","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:06:24 13:47:25""","""2018:06:24 13:50:07""","130","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/10fd6eb2-eb3e-411e-a165-0f6befc581d3"
"be235cb8-fd5b-4062-8043-d8ce3162a80b","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:24 09:52:46""","""2018:04:24 09:53:25""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/be235cb8-fd5b-4062-8043-d8ce3162a80b"
"0ecc7658-469f-4c81-864f-7a5bca0e5eb7","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:25 11:29:01""","""2018:04:25 11:30:07""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/0ecc7658-469f-4c81-864f-7a5bca0e5eb7"
"16035243-b59b-4de4-8282-7b6e7099a13c","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:15 12:04:58""","""2018:05:15 12:05:31""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/16035243-b59b-4de4-8282-7b6e7099a13c"
"71140a54-e0a2-4ceb-82e5-d1b41e4698a2","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:12 17:57:41""","""2018:07:12 17:58:37""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/71140a54-e0a2-4ceb-82e5-d1b41e4698a2"
"13c75156-f191-48b5-95a7-38aec048ed24","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:13 13:01:34""","""2018:04:13 13:01:57""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/13c75156-f191-48b5-95a7-38aec048ed24"
"b4838968-cad1-4beb-b4fa-48262874a52a","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:13 12:55:45""","""2018:04:13 12:56:08""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b4838968-cad1-4beb-b4fa-48262874a52a"
"6336ee9c-c9ea-4adb-8f55-7909d4949e9c","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:12 17:49:54""","""2018:07:12 17:50:16""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/6336ee9c-c9ea-4adb-8f55-7909d4949e9c"
