deployment_id,location_id,location_name,longitude,latitude,start,end,setup_by,camera_id,camera_model,camera_interval,camera_height,bait_use,feature_type,tags,comments
0b34f56a-b513-4794-9159-7ab2d3340637,a297856a-9d3d-4c3e-8d71-5007b5c7be10,CEBUS-01,-81.82116,7.27079,1970-01-01T00:00:00,2017-07-24T14:49:32,Claudio Manuel Monteza,,,0,50,,,R1,
16fb6a5b-b7c9-4c0e-b42d-48786b4245a7,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2018-03-28T16:19:57,2018-07-25T09:26:16,Claudio Manuel Monteza,,,0,3434,,,R4 | Zoë Test,
2cf6c1b6-4289-4fab-aec4-b6259640e409,4baec589-cde1-4893-bd2a-bcd7415dd7b2,SURVEY-CEBUS-22-01,-81.80043,7.24402,2018-01-06T12:48:06,2018-01-15T12:00:00,Claudio Manuel Monteza,,,0,40,,,R3,
3b367e5b-5fff-43b1-9e1c-bae4cad591b3,99d2ca24-17b4-4a3f-b61a-e6c28e936a99,SURVEY-CEBUS-15-04,-81.81954,7.26896,2018-07-27T15:26:58,2018-11-11T16:12:03,Claudio Manuel Monteza,,,0,150,,,R5,
3b6d952c-52f7-43b0-a72b-5876e1d2ddab,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2017-03-28T10:29:28,2017-06-05T11:33:23,Claudio Manuel Monteza,,,0,343,,,R1,
4127cab7-50a4-4d16-89df-f8aa3ed8859f,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2018-01-05T19:03:57,2018-03-25T06:45:40,Claudio Manuel Monteza,,,0,40,,,R3,
44e78891-ac23-4acd-97fc-289c9875edb2,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,1970-01-01T00:00:00,2017-10-19T22:35:03,,,,0,,,,R2,
4ec3873f-af76-40b8-8db2-aef6529f2315,294a516a-3f27-43a3-850c-f36cc7b35f1b,CEBUS-05,-81.82039,7.26989,2018-01-05T15:46:09,2018-03-25T03:54:03,Yorick Liefting,,,0,88,,,R3,
5281b350-a06f-44a3-9b75-5afe81be1fc6,8d03073e-cb75-4c60-b6a2-e4dcaec3b9d5,CEBUS-02,-81.82112,7.27083,2019-08-12T23:30:01,2019-09-08T06:14:48,Brendan Barrett,,,0,42,,,,trial-- not final data
586f2318-260d-4f3f-91c1-6a1ff10a0620,c0ef94fe-168c-47e5-bd6d-c516710b37e6,SURVEY-CEBUS-01-01,-81.79095,7.29063,2017-03-25T17:30:25,2017-06-14T07:10:04,Brendan Barrett,,,0,33,,,R1,
5eebb2b6-2c14-4295-931d-6e9cb47089a1,28a9a884-5df5-48ae-badd-cc80199d0588,SURVEY-CEBUS-11-01,-81.67728,7.52779,2017-03-29T11:20:56,2017-07-25T16:54:03,Claudio Manuel Monteza,,,0,45,,,R1,
