"","SourceFile","FileName","CreateDate","create_date_tz_panama","create_date_tz_monterrey_mx","create_date_tz_monterrey_mx_agouti","create_date_tz_berlin","create_date_tz_berlin_agouti"
"1","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-12.MP4","SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-12.MP4","27/03/2017 14:33:12",2017-03-27 14:33:12,2017-03-27 13:33:12,"27/03/2017 13:33:12",2017-03-27 21:33:12,"27/03/2017 21:33:12"
"2","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-48.MP4","SURVEY-CEBUS-03-01-R1__2017-03-27__14-33-48.MP4","27/03/2017 14:33:48",2017-03-27 14:33:48,2017-03-27 13:33:48,"27/03/2017 13:33:48",2017-03-27 21:33:48,"27/03/2017 21:33:48"
"3","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-27__14-34-27.MP4","SURVEY-CEBUS-03-01-R1__2017-03-27__14-34-27.MP4","27/03/2017 14:34:27",2017-03-27 14:34:27,2017-03-27 13:34:27,"27/03/2017 13:34:27",2017-03-27 21:34:27,"27/03/2017 21:34:27"
"4","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-12-29.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-12-29.MP4","28/03/2017 10:12:29",2017-03-28 10:12:29,2017-03-28 09:12:29,"28/03/2017 09:12:29",2017-03-28 17:12:29,"28/03/2017 17:12:29"
"5","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-05.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-05.MP4","28/03/2017 10:34:05",2017-03-28 10:34:05,2017-03-28 09:34:05,"28/03/2017 09:34:05",2017-03-28 17:34:05,"28/03/2017 17:34:05"
"6","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-48.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-34-48.MP4","28/03/2017 10:34:48",2017-03-28 10:34:48,2017-03-28 09:34:48,"28/03/2017 09:34:48",2017-03-28 17:34:48,"28/03/2017 17:34:48"
"7","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-35-38.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-35-38.MP4","28/03/2017 10:35:38",2017-03-28 10:35:38,2017-03-28 09:35:38,"28/03/2017 09:35:38",2017-03-28 17:35:38,"28/03/2017 17:35:38"
"8","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-13.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-13.MP4","28/03/2017 10:36:13",2017-03-28 10:36:13,2017-03-28 09:36:13,"28/03/2017 09:36:13",2017-03-28 17:36:13,"28/03/2017 17:36:13"
"9","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-51.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-36-51.MP4","28/03/2017 10:36:51",2017-03-28 10:36:51,2017-03-28 09:36:51,"28/03/2017 09:36:51",2017-03-28 17:36:51,"28/03/2017 17:36:51"
"10","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-10.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-10.MP4","28/03/2017 10:38:10",2017-03-28 10:38:10,2017-03-28 09:38:10,"28/03/2017 09:38:10",2017-03-28 17:38:10,"28/03/2017 17:38:10"
"11","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-59.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-38-59.MP4","28/03/2017 10:38:59",2017-03-28 10:38:59,2017-03-28 09:38:59,"28/03/2017 09:38:59",2017-03-28 17:38:59,"28/03/2017 17:38:59"
"12","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-44-30.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-44-30.MP4","28/03/2017 10:44:30",2017-03-28 10:44:30,2017-03-28 09:44:30,"28/03/2017 09:44:30",2017-03-28 17:44:30,"28/03/2017 17:44:30"
"13","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-46-05.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-46-05.MP4","28/03/2017 10:46:05",2017-03-28 10:46:05,2017-03-28 09:46:05,"28/03/2017 09:46:05",2017-03-28 17:46:05,"28/03/2017 17:46:05"
"14","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-47-55.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-47-55.MP4","28/03/2017 10:47:55",2017-03-28 10:47:55,2017-03-28 09:47:55,"28/03/2017 09:47:55",2017-03-28 17:47:55,"28/03/2017 17:47:55"
"15","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-55-01.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-55-01.MP4","28/03/2017 10:55:01",2017-03-28 10:55:01,2017-03-28 09:55:01,"28/03/2017 09:55:01",2017-03-28 17:55:01,"28/03/2017 17:55:01"
"16","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-56-39.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-56-39.MP4","28/03/2017 10:56:39",2017-03-28 10:56:39,2017-03-28 09:56:39,"28/03/2017 09:56:39",2017-03-28 17:56:39,"28/03/2017 17:56:39"
"17","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-57-17.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-57-17.MP4","28/03/2017 10:57:17",2017-03-28 10:57:17,2017-03-28 09:57:17,"28/03/2017 09:57:17",2017-03-28 17:57:17,"28/03/2017 17:57:17"
"18","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__10-58-01.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__10-58-01.MP4","28/03/2017 10:58:01",2017-03-28 10:58:01,2017-03-28 09:58:01,"28/03/2017 09:58:01",2017-03-28 17:58:01,"28/03/2017 17:58:01"
"19","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-02-38.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__11-02-38.MP4","28/03/2017 11:02:38",2017-03-28 11:02:38,2017-03-28 10:02:38,"28/03/2017 10:02:38",2017-03-28 18:02:38,"28/03/2017 18:02:38"
"20","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-06-48.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__11-06-48.MP4","28/03/2017 11:06:48",2017-03-28 11:06:48,2017-03-28 10:06:48,"28/03/2017 10:06:48",2017-03-28 18:06:48,"28/03/2017 18:06:48"
"21","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-08-17.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__11-08-17.MP4","28/03/2017 11:08:17",2017-03-28 11:08:17,2017-03-28 10:08:17,"28/03/2017 10:08:17",2017-03-28 18:08:17,"28/03/2017 18:08:17"
"22","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-10-25.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__11-10-25.MP4","28/03/2017 11:10:25",2017-03-28 11:10:25,2017-03-28 10:10:25,"28/03/2017 10:10:25",2017-03-28 18:10:25,"28/03/2017 18:10:25"
"23","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-12-49.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__11-12-49.MP4","28/03/2017 11:12:49",2017-03-28 11:12:49,2017-03-28 10:12:49,"28/03/2017 10:12:49",2017-03-28 18:12:49,"28/03/2017 18:12:49"
"24","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-03-28__11-14-12.MP4","SURVEY-CEBUS-03-01-R1__2017-03-28__11-14-12.MP4","28/03/2017 11:14:12",2017-03-28 11:14:12,2017-03-28 10:14:12,"28/03/2017 10:14:12",2017-03-28 18:14:12,"28/03/2017 18:14:12"
