number;camera_id;longitude;latitude;island;tool_anvil;tool_site;streambed;
1;SURVEY-CEBUS-01-01;-8.179.094.701;7.290.630.005;Jicaron;0;0;0;
2;SURVEY-CEBUS-02-01;-81.802.393;7.240.663.972;Jicaron;0;0;0;
3;SURVEY-CEBUS-02-02;-81.802.393;7.240.663.972;Jicaron;0;0;0;
4;SURVEY-CEBUS-03-01;-8.180.273.004;7.228.510.967;Jicaron;0;0;0;
5;SURVEY-CEBUS-03-02;-8.180.273.004;7.228.510.967;Jicaron;0;0;0;
6;SURVEY-CEBUS-04-01;-8.180.336.304;7.230.945.993;Jicaron;0;0;0;
7;SURVEY-CEBUS-05-01;-8.180.541.074;7.289.691.987;Jicaron;0;0;0;
8;SURVEY-CEBUS-06-01;-8.180.237.699;7.227.693.982;Jicaron;0;0;0;
9;CEBUS-01;-8.182.116.302;7.270.791.968;Jicaron;1;1;0;
10;CEBUS-02;-8.182.111.667;7.270.833.375;Jicaron;1;1;0;
11;SURVEY-CEBUS-08-01;-8.182.196.902;7.271.729.987;Jicaron;0;1;0;
12;SURVEY-CEBUS-09-01;-8.179.079.102;7.257.485.026;Jicaron;0;0;0;
13;SURVEY-CEBUS-09-02;-8.179.079.102;7.257.485.026;Jicaron;0;0;0;
14;SURVEY-CEBUS-10-01;-8.180.575.901;7.289.567.012;Jicaron;0;0;0;
15;SURVEY-CEBUS-11-01;-8.167.728.304;7.527.792.016;Coiba;0;0;0;
16;SURVEY-CEBUS-12-01;-8.167.780.004;752.982.798;Coiba;0;0;0;
17;SURVEY-CEBUS-03-03;-8.180.259.903;7.228.714.982;Jicaron;0;0;0;
18;SURVEY-CEBUS-06-02;-8.180.229.904;7.227.863.967;Jicaron;0;0;0;
19;SURVEY-CEBUS-13-01;-8.172.946.801;7.626.091.959;Coiba;0;0;0;
20;SURVEY-CEBUS-14-01;-8.167.794.697;752.959.203;Coiba;0;0;0;
21;SURVEY-CEBUS-15-01;-8.181.955.696;7.268.936.969;Jicaron;0;1;1;
22;SURVEY-CEBUS-16-01;-8.182.038.803;7.269.893.009;Jicaron;0;1;0;
23;CEBUS-05;-81.820.493;726.988;Jicaron;1;1;0;
24;SURVEY-CEBUS-16-02;-8.182.038.803;7.269.893.009;Jicaron;1;1;0;
25;CEBUS-08;-8.181.940.801;726.828.997;Jicaron;1;1;1;
26;CEBUS-09;-8.181.942.302;7.268.271.027;Jicaron;1;1;0;
27;SURVEY-CEBUS-18-01;-8.178.624.602;7.265.429.981;Jicaron;0;0;0;
28;SURVEY-CEBUS-19-01;-8.179.746.285;7.290.391.037;Jicaron;0;0;0;
29;SURVEY-CEBUS-20-01;-8.180.344.904;7.290.679.961;Jicaron;0;0;0;
30;SURVEY-CEBUS-21-01;-8.170.001.124;7.638.269.272;Rancheria;0;0;0;
31;SURVEY-CEBUS-03-04;-8.180.259.903;7.228.710.959;Jicaron;0;0;0;
32;SURVEY-CEBUS-07-03;-8.182.116.302;7.270.791.968;Jicaron;1;1;0;
33;SURVEY-CEBUS-15-02;-81.819.549;7.269.062.027;Jicaron;0;1;1;
34;SURVEY-CEBUS-15-03;-8.181.992.803;7.268.739.995;Jicaron;1;1;0;
35;SURVEY-CEBUS-17-03;-81.819.474;726.818;Jicaron;1;1;1;
36;SURVEY-CEBUS-22-01;-8.180.043.197;7.244.016.984;Jicaron;0;0;0;
37;SURVEY-CEBUS-23-01;-8.181.262.999;7.289.001.988;Jicaron;0;0;0;
38;SURVEY-CEBUS-01-02;-8.179.094.701;7.290.630.005;Jicaron;0;0;0;
39;CEBUS-03;-8.182.111.667;7.270.833.375;Jicaron;1;1;0;
40;SURVEY-CEBUS-15-04;-81.819.543;7.268.963;Jicaron;0;1;1;
41;CEBUS-06;-8.182.043.798;7.269.686.982;Jicaron;1;1;0;
42;SURVEY-CEBUS-24-01;-81.820.995;7.270.903;Jicaron;1;1;1;
43;SURVEY-CEBUS-05-02;-81.805.409;728.969;Jicaron;0;0;0;
44;CEBUS-04;-81.820.995;7.270.903;Jicaron;1;1;0;
45;CEBUS-07;-81.819.583;7.268.823;Jicaron;1;1;1;
46;JIC-STREAM-CAMP-NO-T-01;-81.802.552;7.286.901;Jicaron;0;0;1;
47;JIC-STREAM-CAMP-NO-T-02;-81.802.422;7.286.715;Jicaron;0;0;1;
49;JIC-STREAM-DISC-T-1;-81.819.218;726.826;Jicaron;0;1;1;
50;JIC-STREAM-DISC-T-2;-81.819.033;7.268.261;Jicaron;0;1;1;
51;JIC-STREAM-DISC-T-3;-81.819.033;7.268.261;Jicaron;0;1;1;
52;CEBUS-10;-81.819.879;7.268.845;Jicaron;1;1;0;
53;SURVEY-RIO-ESC-01;-81.786.899;7.610.059;Coiba;0;1;1;
54;ESC-01;-81.786.085;7.607.961;Coiba;0;1;1;
55;ESC-02;-81.786.031;7.607.387;Coiba;0;1;1;
56;ESC-03;-81.784.886;7.607.146;Coiba;0;1;1;
57;EXP-ANV-01;-818.201.978;72.697.685;Jicaron;1;1;0;
58;EXP-ANV-02;-818.201.519;72.698.028;Jicaron;1;1;0;
59;J-RAN-01;-818.183.219;72.666.029;Jicaron;0;1;0;
60;J-RAN-02;-818.185.825;72.680.553;Jicaron;0;1;0;
61;J-RAN-03;-818.189.201;72.683.844;Jicaron;0;1;0;
62;J-RAN-04;-818.206.352;72.713.851;Jicaron;0;1;0;
63;J-RAN-05;-818.210.638;7.271.539;Jicaron;0;1;0;
64;J-RAN-06;-818.218.345;72.724.949;Jicaron;0;1;0;
65;J-RAN-07;-81.821.971;72.731.823;Jicaron;0;1;0;
66;J-RAN-08;-818.204.385;72.704.768;Jicaron;0;1;0;
67;J-RAN-09;-818.201.882;72.714.585;Jicaron;0;1;0;
68;J-RAN-10;-818.205.656;72.709.012;Jicaron;0;1;0;
69;J-RAN-11;-818.185.544;72.681.365;Jicaron;0;1;0;
70;J-STREAM-01;-818.183.053;72.662.702;Jicaron;0;1;1;
71;J-STREAM-02;-818.188.891;72.682.161;Jicaron;0;1;1;
72;J-STREAM-03;-818.190.521;72.681.819;Jicaron;0;1;1;
73;J-STREAM-04;-818.206.853;72.708.684;Jicaron;0;1;1;
74;J-STREAM-05;-818.204.645;72.710.563;Jicaron;0;1;1;
75;J-STREAM-06;-818.220.068;72.720.192;Jicaron;0;1;1;
76;J-STREAM-07;-818.220.635;72.723.318;Jicaron;0;1;1;
77;J-STREAM-08;-818.219.956;72.734.519;Jicaron;0;1;1;
78;J-STREAM-09;-818.208.376;72.708.619;Jicaron;0;1;1;
