Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
EXP-ANV-01-R11__2022-01-10__18-27-17,2023-01-30 09:55:25,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-10__18-27-17.MP4,9.251,60.560,29.970,MKWC,juvenileunknown,0.0,seqstart,Sequence info,None,,,,POINT,43.902,43.902,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-10__18-27-17.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-01-10__18-27-17,2023-01-30 09:55:25,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-10__18-27-17.MP4,9.251,60.560,29.970,MKWC,juvenileunknown,0.0,hammerstone,Sequence info,onanvil,None,4,e_offanvilreach,POINT,46.387,46.387,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-10__18-27-17.MP4,NA,NA,,,DWA,
EXP-ANV-01-R11__2022-01-10__18-27-17,2023-01-30 09:55:25,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-10__18-27-17.MP4,9.251,60.560,29.970,MKWC,juvenileunknown,0.0,seqend,Sequence info,None,None,None,None,POINT,53.153,53.153,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-10__18-27-17.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,12.433,60.890,29.970,MKWC,TER,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,8.991,8.991,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,12.433,60.890,29.970,MKWC,TER,0.0,hammerstone,Sequence info,onanvil,None,3,e_offanvilreach,POINT,10.993,10.993,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,BCH ( big chunk ),
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,12.433,60.890,29.970,MKWC,TER,0.0,pound,Behavior,crouch,None,None,,POINT,11.447,11.447,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-01-11__18-24-29,2023-01-30 10:02:03,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,12.433,60.890,29.970,MKWC,TER,0.0,seqend,Sequence info,opened,noscrounging,nodisplacement,noattention,POINT,21.424,21.424,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-01-11__18-24-29.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,24.129,60.860,29.970,MKWC,PEA,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,0.182,0.182,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,face-shot,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,24.129,60.860,29.970,MKWC,PEA,0.0,hammerstone,Sequence info,onanvil,None,3,e_offanvilwalk,POINT,0.656,0.656,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,BCH,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,24.129,60.860,29.970,MKWC,PEA,0.0,pound,Behavior,stand,None,None,,POINT,2.151,2.151,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,24.129,60.860,29.970,MKWC,PEA,0.0,reposit,Behavior,item,,,,POINT,3.653,3.653,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,,
EXP-ANV-01-R11__2022-03-06__06-57-49,2023-01-30 10:18:23,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,24.129,60.860,29.970,MKWC,PEA,0.0,pound,Behavior,stand,None,None,,POINT,4.903,4.903,NA,//mac/Home/Documents/COIBA CEBUS Camera Trap Videos/EXP-ANV-01-R11__2022-03-06__06-57-49.MP4,NA,NA,,,,
