Observation id	Observation date	Description	Media file	Total length	FPS	Coder ID	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
EXP-ANV-01-R11__2022-02-23__18-18-03	2023-01-02 13:00:58		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-02-23__18-18-03.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	halloweencrab	POINT	0.000	0.000	NA	already eating before tool use	
EXP-ANV-01-R11__2022-03-16__17-01-28	2023-01-02 13:53:15		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-01-28.MP4	60.860	29.97	ZG	BAL	pound	Behavior	crouch|None|None	POINT	0.000	0.000	NA	infered from photo before video	
EXP-ANV-01-R11__2022-03-16__17-03-12	2023-01-02 13:59:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-03-12.MP4	60.860	29.97	ZG	BAL	seqstart	Sequence info	almendragreen	POINT	0.000	0.000	NA	face-shot	
EXP-ANV-01-R11__2022-03-16__17-04-22	2023-01-02 14:06:46		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-04-22.MP4	60.890	29.97	ZG	BAL	seqstart	Sequence info	almendragreen	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-16__17-07-22	2023-01-02 15:00:34		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-07-22.MP4	60.890	29.97	ZG	BAL	seqend	Sequence info	relocated|noscrounging|fulldisp|noattention	POINT	0.000	0.000	NA	BAL is displaced by adult male	
EXP-ANV-01-R11__2022-03-17__07-50-54	2023-01-02 16:47:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-50-54.MP4	60.860	29.97	ZG	PEA	seqstart	Sequence info	Unknown	POINT	0.000	0.000	NA	face-shot	
EXP-ANV-01-R11__2022-03-17__07-56-49	2023-01-03 11:18:29		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__07-56-49.MP4	60.890	29.97	ZG	PEA	seqstart	Sequence info	almendraunknown	POINT	0.000	0.000	NA	red	
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-17__08-36-56	2023-01-03 11:28:06		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__08-36-56.MP4	60.860	29.97	ZG	PEA	hammerstone	Sequence info	inhand|None|None|e_onanvil	POINT	0.000	0.000	NA	DWA_A	
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	seqstart	Sequence info	almendragreen	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-20__11-43-12	2023-01-03 12:08:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-20__11-43-12.MP4	60.860	29.97	ZG	SPT	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-21__06-51-27	2023-01-03 12:42:08		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-21__06-51-27.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-22__07-08-14	2023-01-03 12:46:09		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-08-14.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-22__07-09-49	2023-01-03 13:50:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-09-49.MP4	60.890	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendraunknown	POINT	0.000	0.000	NA	red	
EXP-ANV-01-R11__2022-03-22__07-11-16	2023-01-03 13:59:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-11-16.MP4	60.830	29.97	ZG	juvenileunknown	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA		
EXP-ANV-01-R11__2022-03-25__17-48-46	2023-01-03 14:45:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-48-46.MP4	60.860	29.97	ZG	adultmale	seqstart	Sequence info	almendrabrown	POINT	0.000	0.000	NA	ID ?= ABE or CYS	
