SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__15-40-47.MP4,CEBUS-08-R5__2018-07-27__15-40-47.MP4,27/07/2018_15:40:47
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__15-41-22.MP4,CEBUS-08-R5__2018-07-27__15-41-22.MP4,27/07/2018_15:41:22
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__15-42-00.MP4,CEBUS-08-R5__2018-07-27__15-42-00.MP4,27/07/2018_15:42:00
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__15-42-45.MP4,CEBUS-08-R5__2018-07-27__15-42-45.MP4,27/07/2018_15:42:45
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__15-44-27.MP4,CEBUS-08-R5__2018-07-27__15-44-27.MP4,27/07/2018_15:44:27
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__15-45-07.MP4,CEBUS-08-R5__2018-07-27__15-45-07.MP4,27/07/2018_15:45:07
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__16-10-29.MP4,CEBUS-08-R5__2018-07-27__16-10-29.MP4,27/07/2018_16:10:29
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__16-23-39.MP4,CEBUS-08-R5__2018-07-27__16-23-39.MP4,27/07/2018_16:23:39
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-27__16-24-17.MP4,CEBUS-08-R5__2018-07-27__16-24-17.MP4,27/07/2018_16:24:17
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-28__07-46-32.MP4,CEBUS-08-R5__2018-07-28__07-46-32.MP4,28/07/2018_07:46:32
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-28__09-04-27.MP4,CEBUS-08-R5__2018-07-28__09-04-27.MP4,28/07/2018_09:04:27
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-28__11-17-39.MP4,CEBUS-08-R5__2018-07-28__11-17-39.MP4,28/07/2018_11:17:39
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-28__11-20-27.MP4,CEBUS-08-R5__2018-07-28__11-20-27.MP4,28/07/2018_11:20:27
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-28__11-21-03.MP4,CEBUS-08-R5__2018-07-28__11-21-03.MP4,28/07/2018_11:21:03
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-14-07.MP4,CEBUS-08-R5__2018-07-29__11-14-07.MP4,29/07/2018_11:14:07
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-28-42.MP4,CEBUS-08-R5__2018-07-29__11-28-42.MP4,29/07/2018_11:28:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-30-33.MP4,CEBUS-08-R5__2018-07-29__11-30-33.MP4,29/07/2018_11:30:33
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-31-17.MP4,CEBUS-08-R5__2018-07-29__11-31-17.MP4,29/07/2018_11:31:17
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-32-06.MP4,CEBUS-08-R5__2018-07-29__11-32-06.MP4,29/07/2018_11:32:06
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-32-50.MP4,CEBUS-08-R5__2018-07-29__11-32-50.MP4,29/07/2018_11:32:50
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-33-44.MP4,CEBUS-08-R5__2018-07-29__11-33-44.MP4,29/07/2018_11:33:44
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__11-34-44.MP4,CEBUS-08-R5__2018-07-29__11-34-44.MP4,29/07/2018_11:34:44
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-07-29__14-54-38.MP4,CEBUS-08-R5__2018-07-29__14-54-38.MP4,29/07/2018_14:54:38
