locationfactor,distcat,gmaps
Coiba-2-01,100-150,144
Coiba-2-02,150-200,170
Coiba-2-03,<50,25
Coiba-2-07,<50,30
Coiba-2-11,<50,20
Coiba-2-12,250-300,270
Coiba-2-13,650-700,680
Coiba-2-14,100-150,130
Coiba-2-15,450-500,490
Coiba-2-16,300-350,320
JicaronForest,850-900,890
CEBUS-01,<50,45
CEBUS-02,50-100,52
CEBUS-05,50-100,59
CEBUS-06,50-100,55
CEBUS-08,50-100,53
CEBUS-09,50-100,52
JIC-STREAM-CAMP-NO-T-01,400-450,427
JIC-STREAM-CAMP-NO-T-02,450-500,456
JIC-STREAM-DISC-T-1,50-100,80
SURVEY-CEBUS-01-01,<50,5
SURVEY-CEBUS-01-02,<50,5
SURVEY-CEBUS-02-01,<50,5
SURVEY-CEBUS-02-02,<50,5
SURVEY-CEBUS-03-01,<50,10
SURVEY-CEBUS-03-02,<50,10
SURVEY-CEBUS-03-03,<50,10
SURVEY-CEBUS-03-04,<50,10
SURVEY-CEBUS-04-01,<50,50
SURVEY-CEBUS-05-01,<50,25
SURVEY-CEBUS-05-02,<50,25
SURVEY-CEBUS-06-01,<50,5
SURVEY-CEBUS-07-03,50-100,56
SURVEY-CEBUS-09-01,<50,5
SURVEY-CEBUS-09-02,<50,5
SURVEY-CEBUS-10-01,<50,22
SURVEY-CEBUS-15-04,50-100,95
SURVEY-CEBUS-17-03,50-100,52
SURVEY-CEBUS-22-01,<50,5
SURVEY-CEBUS-24-01,<50,5
