Observation_ID,Array,Camera_Site,Camera_Site_Latitude,Camera_Site_Longitude,Count,Species_Name_Common,Species_Name_Latin,Animal_ID,Animal_Sex,Animal_Age,Behaviour,Animal_Recognizable,Animal_Notes,Image_Sequence_DateTime,Observation_Status,Observation_Timestamp,Observation_Person,Image_Sequence_ID,Card_Deployment_ID,Card_Deployment_Notes,Camera_ID,Camera_Deployment_ID,Camera_Deployment_Start,Camera_Deployment_End,Camera_Deployment_Duration,Camera_Deployment_Detection_Distance,Camera_Deployment_Notes,Image_Sequence_Year,Image_Sequence_Month,Image_Sequence_Week,Individual_ID,Individual_Activityme,Individual_Notes,View_Link,Group,Guild,PredPrey,Season,Capture type,Duration
7127,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,1,Panamanian White-throated Capuchin,Cebus capucinus imitator,86848,Unknown,Unknown,Traveling,0,WQ,42055.32101,Pending,42857.75203,Claudio Manuel,83745,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,2,7,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83745,Mammals,Omnivores,Prey,Dry,Terrestrial Capture,0.166668333
7128,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,1,Panamanian White-throated Capuchin,Cebus capucinus imitator,86849,Unknown,Unknown,Traveling,0,WQ,42073.73539,Pending,42857.75308,Claudio Manuel,83760,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,3,10,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83760,Mammals,Omnivores,Prey,Dry,Terrestrial Capture,0.5500055
7133,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,3,Panamanian White-throated Capuchin,Cebus capucinus imitator,86861,Unknown,Unknown,Traveling,0,WQ 3/3 inds. B 1,42076.31186,Pending,42857.76892,Claudio Manuel,83763,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,3,10,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83763,Mammals,Omnivores,Prey,Dry,Terrestrial Capture,0.433337667
7130,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,5,Panamanian White-throated Capuchin,Cebus capucinus imitator,86851,Unknown,Unknown,Traveling,0,"WQ, B2",42092.57534,Pending,42857.76323,Claudio Manuel,83769,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,3,13,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83769,Mammals,Omnivores,Prey,Dry,Terrestrial Capture,0.900009
7131,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,4,Panamanian White-throated Capuchin,Cebus capucinus imitator,86856,Unknown,Unknown,Activity,0,"WQ, B1",42108.70022,Pending,42857.76395,Claudio Manuel,83800,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,4,15,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83800,Mammals,Omnivores,Prey,Dry,Terrestrial Capture,0.8500085
7134,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,2,Panamanian White-throated Capuchin,Cebus capucinus imitator,86864,Unknown,Unknown,Activity,0,WQ,42108.70529,Pending,42857.77274,Claudio Manuel,83801,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,4,15,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83801,Mammals,Omnivores,Prey,Dry,Terrestrial Capture,1.216678833
7135,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,2,Panamanian White-throated Capuchin,Cebus capucinus imitator,86866,Unknown,Unknown,Activity,0,"WQ, P.",42113.27013,Pending,42857.77588,Claudio Manuel,83817,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,4,16,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83817,Mammals,Omnivores,Prey,Rainy,Terrestrial Capture,1.716683834
7136,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,1,Panamanian White-throated Capuchin,Cebus capucinus imitator,86868,Unknown,Unknown,Activity,0,"WQ, C",42120.33096,Pending,42857.77663,Claudio Manuel,83823,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,4,17,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83823,Mammals,Omnivores,Prey,Rainy,Terrestrial Capture,0.800008
7137,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,2,Panamanian White-throated Capuchin,Cebus capucinus imitator,86869,Unknown,Unknown,Activity,0,"WQ, 1 is C.",42124.70179,Pending,42857.7777,Claudio Manuel,83834,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,4,17,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83834,Mammals,Omnivores,Prey,Rainy,Terrestrial Capture,0.083334167
7138,CT-CBA-1,Coiba-1-01,7.512444,-81.823194,1,Panamanian White-throated Capuchin,Cebus capucinus imitator,86871,Unknown,Unknown,Traveling,0,"WQ, F.",42128.63255,Pending,42857.77824,Claudio Manuel,83846,2749,,CAM07,2701,42054.64583,42143.625,88.9375,6.4,,2015,5,18,,,,http://coiba.cameratrapping.net/view_seq.php?ID=83846,Mammals,Omnivores,Prey,Rainy,Terrestrial Capture,0.316669833
